TÍTULO EN ESPAÑOL;TIPO DE PELÍCULA;AÑO DE ESTRENO;CONTENIDO;;
Piratas del Caribe: en el fin del mundo;Imagen real;2007;Secuela;;
Ratatouille;Animada;2007;Original ;;
Superdog / Supercan;Imagen real;2007;Original ;;
La historia de Pixar;Imagen real;2007;Documental;;
Entrenando a papá / Papá por sorpresa;Imagen real;2007;Original ;;
Encantada / Encantada: la historia de Giselle;Mixta;2007;Original ;;
La búsqueda 2: El diario secreto ;Imagen real;2007;Secuela;;
Hannah Montana & Miley Cyrus en Concierto: Lo Mejor de Ambos Mundos;Imagen real;2008;Spin-Off;;
Loco Viaje al Campus / Un viaje de aquellos;Imagen real;2008;Original ;;
Las crónicas de Narnia: el príncipe Caspian;Imagen real;2008;Original ;;
Dasavathaaram;Imagen real;2008;Original ;;
WALL·E;Animada;2008;Original ;;
La sirenita 3: los comienzos de Ariel / El Origen de la sirenita;Animada;2008;Precuela ;;
Campanilla / Tinker Bell;Animada;2008;Spin-Off;;
Snow Buddies - Cachorros en la nieve / Buddies en la nieve;Imagen real;2008;Spin-Off;;
Una Chihuahua de Beverly Hills/ Un Chihuahua de Beverly Hills;Imagen real;2008;Original ;;
Cuentos que no son cuentos / Más allá de los Sueños;Imagen real;2008;Original ;;
Morning Light;Imagen real;2008;Documental;;
High School Musical 3: Fin de Curso/ High School Musical 3: La Gradaución;Imagen real;2008;Secuela;;
Roadside Romeo;Animada;2008;Original ;;
Bolt: Un Perro fuera de serie;Animada;2008;Original ;;
Jonas Brothers en concierto 3D;imagen real;2009;Spin-Off;;
La Montaña Embrujada;imagen real;2009;Original ;;
Hannah Montana: La película;imagen real;2009;Spin-Off;;
La Tierra;imagen real;2009;Documental;;
Los muchachos: la historia de los hermanos Sherman;imagen real;2009;Documental;;
Trail of the Panda;imagen real;2009;Original ;;
Up: Una Aventura de Altura;Animada;2009;Original ;;
Kika Superbruja y el Libro de Hechizos;Imagen real;2009;Original ;;
Fuerza G / G-Force: Licencia para espiar;Imagen real;2009;Original ;;
Walt y el grupo;Imagen real;2009;Documental;;
Space Buddies;Imagen real;2009;Spin-Off;;
The Book of Masters;Imagen real;2009;Original ;;
Los Fantasmas de Scrooge / Cuento de navidad;Animada;2009;Original ;;
Par de colmilludos / Dos canguros muy maduros;Imagen real;2009;Original ;;
Tinker Bell y el tesoro perdido / Campanilla y el tesoro perdido;Animada;2009;Spin-Off;;
La princesa y el sapo / Tiana y el sapo;Animada;2009;Original ;;
Tinker Bell: Hadas al rescate / Campanilla y el gran rescate;Animada;2010;Spin-Off;;
Alicia en el país de las maravillas;Animada;2010;Remake ;;
Océanos;Imagen real;2010;Documental;;
El príncipe de Persia: Las arenas del tiempo;Imagen real;2010;Original ;;
Toy Story 3;Animada;2010;Secuela;;
El aprendiz de brujo;Imagen real;2010;Original ;;
