;;;
;;;
Columna1;Título en español;Título original;Fecha de estreno
T;Aviones 2: Equipo de Rescate / Aviones: Equipo de Rescate;Planes: Fire & Rescue;
D;Tinker Bell: Hadas y piratas / Campanilla: Hadas y piratas;The Pirate Fairy;
W;Grandes Héroes / Big Hero 6;Big Hero 6;
D;Alexander y un día terrible, horrible, malo... ¡muy malo! / Alexander y el día terrible, horrible, espantoso, horroroso;Alexander and the Terrible, Horrible, No Good, Very Bad Day;
D;En el bosque / Into the Woods;Into the Woods;
D;McFarland, sin límites;McFarland, USA;2015
D;La Cenicienta;Cinderella;
N;El Reino de los Monos;Monkey Kingdom;
D;Tomorrowland: El mundo del mañana;Tomorrowland;
P;Intensa-Mente / Del Revés;Inside Out;
D;Descendientes;Descendants;
P;Un Gran Dinosaurio / El viaje de Arlo;The Good Dinosaur;
D;Horas contadas / La hora decisiva;The Finest Hours;2016
W;Zootopia / Zootrópolis;Zootopia;
D;El libro de la selva;The Jungle Book;
D;Alicia a través del espejo;Alice Through the Looking Glass;
D;Tini: El gran cambio de Violetta;Tini: El Gran Cambio De Violetta;
D;El buen amigo gigante / Mi gran amigo el gigante;The BFG;
P;Buscando a Dory;Finding Dory;
D;Mi amigo el dragón / Peter y el dragón;Pete's Dragon;
D;Reina de Katwe;Queen of Katwe;
W;Moana: Un mar de aventuras / Vaiana;Moana;
N;Growing Up Wild;Growing Up Wild;
D;Dangal;Dangal;
D;La bella y la bestia;Beauty and the Beast;2017
N;La marcha de los pingüinos 2;L'Empereur;
N;Nacidos en China;Born in China;
D;Piratas del Caribe: La venganza de Salazar;Pirates of the Caribbean: Dead Men Tell No Tales;
P;Cars 3;Cars 3;
N;Ghost of the Mountains;Ghost of the Mountains;
D;Jagga Jasoos;Jagga Jasoos;
P;Coco;Coco;
N;Expedition China;Expedition China;
D;Un viaje en el tiempo / Un pliegue en el tiempo;A Wrinkle in Time;2018
P;Los Increíbles 2;Incredibles 2;
D;Christopher Robin;Christopher Robin;
D;El Cascanueces y los cuatro reinos;The Nutcracker and the Four Realms;
W;Wi-Fi Ralph / Ralph Rompe Internet;Ralph Breaks the Internet;
D;El Regreso de Mary Poppins;Mary Poppins Returns;
D;Dumbo;Dumbo;2019
N;Pingüinos;Penguins;
D;Aladdín;Aladdin;
P;Toy Story 4;Toy Story 4;
D;El Rey León;The Lion King;
